estacao,nivel,temperatura,qualidade_agua,bomba_principal,alarme_nivel_baixo,alarme_temperatura_alta,alarme_qualidade_ruim,timestamp
EB-161,25.0,35.0,90.0,BLOQUEADA,1,0,0,2026-06-27 15:27:45
EB-161,25.0,35.0,90.0,BLOQUEADA,1,0,0,2026-06-27 15:40:24
EB-161,25.0,35.0,90.0,BLOQUEADA,1,0,0,2026-07-02 23:20:57
EB-161,25.0,35.0,90.0,BLOQUEADA,1,0,0,2026-07-03 13:29:45
EB-161,25.0,35.0,90.0,BLOQUEADA,1,0,0,2026-07-03 13:30:19
EB-161,25.0,35.0,90.0,BLOQUEADA,1,0,0,2026-07-03 13:33:20
EB-161,25.0,35.0,90.0,BLOQUEADA,1,0,0,2026-07-03 13:33:58
EB-161,75.2901,69.6381,99.7956,DESLIGADA,0,0,0,2026-07-03 14:06:47
EB-161,75.2901,69.6381,99.7956,DESLIGADA,0,0,0,2026-07-03 14:06:47
EB-161,75.2901,69.6381,99.7956,DESLIGADA,0,0,0,2026-07-03 14:06:47
EB-161,75.2901,69.6381,99.7956,DESLIGADA,0,0,0,2026-07-03 14:06:47
EB-161,75.2901,69.6381,99.7956,DESLIGADA,0,0,0,2026-07-03 14:06:47
EB-161,75.2901,69.6381,99.7956,DESLIGADA,0,0,0,2026-07-03 14:06:47
EB-161,75.2901,69.6381,99.7956,DESLIGADA,0,0,0,2026-07-03 14:06:47
EB-161,75.2901,69.6381,99.7956,DESLIGADA,0,0,0,2026-07-03 14:06:47
EB-161,75.2901,69.6381,99.7956,DESLIGADA,0,0,0,2026-07-03 14:06:47
EB-161,75.2901,69.6381,99.7956,DESLIGADA,0,0,0,2026-07-03 14:06:47
